Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
118,Josh Jackson,20,PHO,SF,77,35,1959,0.417,10.7,0.767,0.349,0.193,0.111,0.115,0.233,0.464,0.578,0.406,0.32,0.355,0.263,0.361,0.912,0.082,65,0.235,0.294,3,0,,jacksjo02
119,Marco Belinelli,31,2TM,SG,80,2,1947,0.441,18.9,0.483,0.126,0.05,0.064,0.242,0.517,0.509,0.667,0.342,0.51,0.465,0.377,0.803,0.879,0.008,4,0.144,0.404,2,0,6MOY-12,belinma01
120,Marco Belinelli,31,ATL,SG,52,1,1210,0.41,18.9,0.491,0.122,0.045,0.074,0.247,0.509,0.45,0.576,0.273,0.472,0.417,0.372,0.738,0.837,0.01,3,0.15,0.432,2,0,,belinma01
121,Marco Belinelli,31,PHI,SG,28,1,737,0.495,19,0.47,0.133,0.057,0.047,0.233,0.53,0.618,0.811,0.438,0.615,0.554,0.385,0.889,0.947,0.004,1,0.135,0.35,0,0,,belinma01
122,Darius Miller,27,NOP,SF,82,3,1944,0.444,21.9,0.265,0.021,0.039,0.072,0.133,0.735,0.535,0.6,0.421,0.571,0.538,0.411,0.594,0.959,0.002,1,0.196,0.557,1,0,,milleda01
123,James Johnson,30,MIA,PF,73,41,1943,0.503,10.9,0.699,0.383,0.181,0.064,0.072,0.301,0.587,0.698,0.486,0.436,0.386,0.308,0.413,0.912,0.094,49,0.378,0.314,1,0,,johnsja01
124,Kyrie Irving,25,BOS,PG,60,60,1931,0.491,14.5,0.626,0.223,0.158,0.132,0.112,0.374,0.541,0.649,0.436,0.479,0.549,0.408,0.264,0.53,0.002,2,0.123,0.42,1,0,AS,irvinky01
125,Rondae Hollis-Jefferson,23,BRK,SF,68,59,1920,0.472,7.6,0.925,0.377,0.273,0.206,0.069,0.075,0.491,0.597,0.369,0.477,0.44,0.241,0.556,1,0.041,29,0.5,0.333,1,0,,holliro01
126,Joel Embiid,23,PHI,C,63,63,1912,0.483,11.1,0.797,0.293,0.176,0.22,0.106,0.203,0.527,0.728,0.387,0.431,0.42,0.308,0.439,0.924,0.087,82,0.051,0.364,0,0,MVP-12DPOY-2ASNBA2,embiijo01
127,Aaron Gordon,22,ORL,PF,58,57,1909,0.434,14.1,0.605,0.275,0.109,0.106,0.114,0.395,0.497,0.718,0.287,0.38,0.273,0.336,0.488,0.835,0.111,92,0.199,0.368,0,0,,gordoaa01
128,Dirk Nowitzki,39,DAL,C,77,77,1900,0.456,19.2,0.555,0.044,0.028,0.201,0.284,0.445,0.494,0.758,0.476,0.474,0.47,0.409,0.774,1,0.003,1,0.045,0.467,1,0,,nowitdi01
129,Stanley Johnson,21,DET,SF,69,50,1894,0.375,14.8,0.582,0.22,0.157,0.084,0.121,0.418,0.439,0.659,0.227,0.34,0.382,0.286,0.371,0.97,0.023,10,0.303,0.282,3,0,,johnsst04
130,Jordan Clarkson,25,2TM,SG,81,2,1888,0.451,14,0.667,0.246,0.142,0.133,0.146,0.333,0.5,0.647,0.4,0.441,0.403,0.352,0.277,0.795,0.017,15,0.164,0.423,0,0,6MOY-7,clarkjo01
131,Jordan Clarkson,25,LAL,SG,53,2,1256,0.448,13.2,0.685,0.264,0.147,0.121,0.153,0.315,0.505,0.67,0.429,0.346,0.422,0.324,0.273,0.794,0.015,9,0.114,0.292,0,0,,clarkjo01
132,Jordan Clarkson,25,CLE,SG,28,0,632,0.456,14.7,0.624,0.206,0.129,0.16,0.129,0.376,0.486,0.576,0.324,0.609,0.351,0.407,0.287,0.795,0.021,6,0.259,0.536,0,0,,clarkjo01
133,Tim Hardaway Jr.,25,NYK,SG,57,54,1885,0.421,16.4,0.521,0.222,0.089,0.091,0.119,0.479,0.516,0.642,0.276,0.513,0.461,0.317,0.504,0.792,0.028,21,0.124,0.373,2,0,,hardati02
134,Devin Booker,21,PHO,SG,54,54,1865,0.432,15.1,0.636,0.18,0.143,0.176,0.137,0.364,0.46,0.611,0.351,0.4,0.451,0.383,0.338,0.612,0.013,13,0.112,0.419,4,0,,bookede01
135,Caris LeVert,23,BRK,SF,71,10,1864,0.435,12.1,0.667,0.31,0.19,0.103,0.063,0.333,0.48,0.654,0.321,0.342,0.326,0.347,0.302,0.729,0.044,32,0.131,0.281,0,0,,leverca01
136,Lance Stephenson,27,IND,SG,82,7,1850,0.427,14.7,0.673,0.292,0.086,0.072,0.223,0.327,0.495,0.623,0.311,0.49,0.399,0.289,0.237,0.716,0.025,14,0.194,0.356,9,0,,stephla01
137,Michael Kidd-Gilchrist,24,CHO,SF,74,74,1850,0.504,8.3,0.996,0.404,0.188,0.146,0.259,0.004,0.505,0.69,0.343,0.463,0.359,0,0.674,,0.052,25,0.5,0,1,0,,kiddgmi01
138,Chris Paul,32,HOU,PG,58,58,1847,0.46,17.6,0.525,0.093,0.104,0.218,0.11,0.475,0.532,0.662,0.446,0.506,0.557,0.38,0.081,0.243,0,0,0.142,0.5,4,0,,paulch01
139,Evan Fournier,25,ORL,SF,57,57,1837,0.459,15,0.582,0.209,0.165,0.094,0.115,0.418,0.516,0.667,0.439,0.32,0.511,0.379,0.573,0.843,0.01,8,0.17,0.509,1,0,,fournev01
140,Myles Turner,21,IND,C,65,62,1836,0.479,14.1,0.754,0.26,0.105,0.085,0.305,0.246,0.519,0.614,0.478,0.407,0.482,0.357,0.736,0.982,0.085,46,0.089,0.286,1,0,,turnemy01
141,Frank Kaminsky,24,CHO,PF,79,4,1835,0.429,14.2,0.617,0.17,0.251,0.13,0.066,0.383,0.459,0.672,0.378,0.43,0.277,0.38,0.517,0.99,0.022,15,0.077,0.286,0,0,,kaminfr01
142,Enes Freedom,25,NYK,C,71,71,1830,0.592,3.8,0.997,0.61,0.262,0.076,0.048,0.003,0.594,0.683,0.46,0.463,0.412,0,0.491,,0.05,31,0,,0,0,,kanteen01
143,Jeff Green,31,CLE,PF,78,14,1828,0.477,11.2,0.725,0.398,0.146,0.087,0.095,0.275,0.54,0.699,0.367,0.259,0.39,0.312,0.583,0.962,0.115,63,0.4,0.338,8,0,,greenje02
144,Rudy Gobert,25,UTA,C,56,56,1816,0.622,2.4,1,0.757,0.194,0.023,0.025,0,0.622,0.726,0.314,0.1,0.364,,0.772,,0.369,151,,,0,0,DPOY-1,goberru01
145,Pau Gasol,37,SAS,C,77,63,1812,0.458,10.8,0.809,0.311,0.201,0.126,0.169,0.191,0.481,0.672,0.349,0.38,0.368,0.358,0.676,1,0.038,22,0.325,0.333,0,0,,gasolpa01
146,George Hill,31,2TM,PG,67,60,1812,0.46,15.1,0.6,0.189,0.136,0.119,0.156,0.4,0.49,0.701,0.371,0.426,0.388,0.415,0.318,0.753,0.01,5,0.322,0.47,1,0,,hillge01
147,George Hill,31,SAC,PG,43,36,1143,0.469,15.5,0.607,0.172,0.15,0.132,0.153,0.393,0.48,0.679,0.429,0.349,0.42,0.453,0.295,0.741,0.006,2,0.211,0.481,1,0,,hillge01
148,George Hill,31,CLE,PG,24,24,669,0.444,14.8,0.588,0.219,0.112,0.096,0.16,0.412,0.509,0.732,0.238,0.611,0.333,0.351,0.357,0.778,0.016,3,0.506,0.462,0,0,,hillge01
149,Domantas Sabonis,21,IND,C,74,19,1810,0.514,7.2,0.944,0.47,0.224,0.088,0.162,0.056,0.524,0.669,0.385,0.431,0.346,0.351,0.737,1,0.086,49,0.135,0.6,0,0,,sabondo01
150,Elfrid Payton,23,2TM,PG,63,63,1808,0.493,8.1,0.862,0.405,0.264,0.105,0.088,0.138,0.52,0.674,0.398,0.371,0.356,0.326,0.207,0.833,0.016,9,0.261,0.375,0,0,,paytoel01
151,Elfrid Payton,23,ORL,PG,44,44,1257,0.52,8.2,0.854,0.41,0.26,0.107,0.076,0.146,0.545,0.702,0.403,0.408,0.371,0.373,0.23,0.88,0.013,5,0.313,0.429,0,0,,paytoel01
152,Elfrid Payton,23,PHO,PG,19,19,551,0.435,8,0.88,0.392,0.273,0.1,0.115,0.12,0.467,0.61,0.386,0.286,0.333,0.2,0.151,0.6,0.024,4,0.12,0,0,0,,paytoel01
153,Danny Green,30,SAS,SG,70,60,1791,0.387,17.2,0.43,0.173,0.102,0.059,0.096,0.57,0.419,0.546,0.333,0.242,0.389,0.363,0.624,0.991,0.018,8,0.288,0.446,0,0,,greenda02
154,Kent Bazemore,28,ATL,SG,65,65,1789,0.42,14.7,0.595,0.226,0.139,0.08,0.149,0.405,0.438,0.608,0.266,0.333,0.396,0.394,0.472,0.833,0.031,19,0.285,0.436,1,0,,bazemke01
155,John Collins,20,ATL,PF,74,26,1785,0.576,5.7,0.914,0.589,0.167,0.11,0.05,0.086,0.598,0.732,0.341,0.417,0.259,0.34,0.742,1,0.273,123,0.723,0.353,2,0,,collijo01
156,Lonzo Ball,20,LAL,PG,52,50,1780,0.36,16.1,0.477,0.273,0.092,0.053,0.059,0.523,0.42,0.494,0.269,0.4,0.333,0.305,0.327,0.744,0.03,15,0.115,0.235,3,0,,balllo01
157,Kelly Olynyk,26,MIA,PF,76,22,1779,0.497,14.4,0.56,0.274,0.137,0.066,0.082,0.44,0.59,0.782,0.46,0.381,0.346,0.379,0.533,0.906,0.033,20,0.139,0.41,1,0,6MOY-6,olynyke01
158,Doug McDermott,26,2TM,SF,81,4,1768,0.467,14.3,0.575,0.311,0.085,0.065,0.114,0.425,0.497,0.652,0.372,0.303,0.276,0.426,0.841,1,0.037,17,0.301,0.508,0,0,,mcderdo01
159,Doug McDermott,26,NYK,SF,55,1,1172,0.46,13.7,0.582,0.348,0.07,0.055,0.11,0.418,0.513,0.658,0.261,0.389,0.278,0.387,0.806,1,0.04,11,0.307,0.429,0,0,,mcderdo01
160,Doug McDermott,26,DAL,SF,26,3,596,0.478,14.8,0.561,0.244,0.111,0.083,0.122,0.439,0.465,0.636,0.5,0.2,0.273,0.494,0.915,1,0.033,6,0.291,0.652,0,0,,mcderdo01
161,D.J. Augustin,30,ORL,PG,75,36,1760,0.452,15.6,0.496,0.241,0.146,0.054,0.054,0.504,0.485,0.569,0.367,0.414,0.517,0.419,0.231,0.675,0,0,0.154,0.357,2,0,,augusdj01
162,Anthony Tolliver,32,DET,PF,79,14,1757,0.464,20.1,0.227,0.138,0.059,0.017,0.013,0.773,0.561,0.708,0.286,0.375,0.5,0.436,0.733,1,0.034,14,0.247,0.411,0,0,,tollian01
163,Dejounte Murray,21,SAS,PG,81,48,1743,0.443,7.4,0.944,0.412,0.223,0.21,0.099,0.056,0.454,0.586,0.36,0.344,0.367,0.265,0.33,1,0.028,15,0.618,0.286,0,0,,murrade01
164,DeMarcus Cousins,27,NOP,C,48,48,1737,0.47,11.8,0.66,0.375,0.175,0.041,0.069,0.34,0.53,0.633,0.411,0.486,0.3,0.354,0.411,0.942,0.056,44,0.02,0.167,3,0,AS,couside01
165,Brook Lopez,29,LAL,C,74,72,1735,0.465,14.2,0.59,0.178,0.251,0.13,0.032,0.41,0.549,0.745,0.503,0.427,0.32,0.345,0.545,0.982,0.059,44,0.123,0.425,0,0,,lopezbr01
166,Reggie Bullock,26,DET,SF,62,52,1732,0.489,16.2,0.485,0.198,0.11,0.101,0.077,0.515,0.536,0.741,0.283,0.436,0.5,0.445,0.817,0.968,0.002,1,0.267,0.453,1,0,,bullore01
167,Ersan İlyasova,30,2TM,PF,69,43,1729,0.452,13.8,0.587,0.299,0.104,0.085,0.1,0.413,0.517,0.623,0.375,0.385,0.459,0.36,0.753,0.967,0.013,7,0.269,0.485,0,0,,ilyaser01
168,Ersan İlyasova,30,ATL,PF,46,40,1175,0.459,14.1,0.576,0.299,0.085,0.08,0.112,0.424,0.532,0.617,0.441,0.469,0.422,0.359,0.797,0.967,0.015,6,0.365,0.484,0,0,,ilyaser01
169,Ersan İlyasova,30,PHI,PF,23,3,554,0.439,13.6,0.608,0.297,0.142,0.094,0.075,0.392,0.488,0.635,0.3,0.25,0.563,0.361,0.667,0.967,0.009,1,0.072,0.5,0,0,,ilyaser01
170,Jonas Valančiūnas,25,TOR,C,77,77,1727,0.568,6.4,0.892,0.443,0.333,0.093,0.025,0.108,0.587,0.704,0.472,0.406,0.706,0.405,0.636,0.9,0.108,71,0.081,0.667,0,0,,valanjo01
171,Ryan Anderson,29,HOU,PF,66,50,1725,0.431,20.4,0.294,0.142,0.044,0.04,0.069,0.706,0.539,0.647,0.143,0.579,0.545,0.386,0.342,0.992,0.019,9,0.109,0.405,0,0,,anderry01
172,Frank Ntilikina,19,NYK,PG,78,9,1706,0.364,16.1,0.686,0.174,0.088,0.156,0.268,0.314,0.385,0.621,0.182,0.346,0.321,0.318,0.333,0.8,0.014,6,0.153,0.375,4,0,,ntilila01
173,T.J. McConnell,25,PHI,PG,76,1,1706,0.499,10.8,0.853,0.233,0.247,0.278,0.095,0.147,0.51,0.663,0.481,0.444,0.4,0.435,0.311,1,0,0,0.371,0.609,4,0,,mccontj01
174,Rajon Rondo,31,NOP,PG,65,63,1705,0.468,11,0.696,0.403,0.148,0.047,0.099,0.304,0.526,0.603,0.479,0.435,0.327,0.333,0.215,0.7,0.006,3,0.42,0.286,0,0,,rondora01
175,Robin Lopez,29,CHI,C,64,64,1690,0.53,7.6,0.978,0.315,0.392,0.085,0.186,0.022,0.536,0.729,0.498,0.364,0.367,0.286,0.731,0.75,0.056,34,0,,0,0,,lopezro01
176,Jerian Grant,25,CHI,PG,74,26,1686,0.416,15.7,0.628,0.199,0.111,0.131,0.187,0.372,0.468,0.64,0.268,0.424,0.436,0.326,0.155,0.656,0.01,5,0.08,0.467,4,0,,grantje02
177,Nikola Vučević,27,ORL,C,57,57,1683,0.475,12.7,0.757,0.213,0.223,0.154,0.168,0.243,0.527,0.743,0.481,0.349,0.475,0.314,0.672,1,0.04,29,0.01,0.5,0,0,,vucevni01
178,Justise Winslow,21,MIA,PF,68,25,1680,0.424,10.3,0.736,0.367,0.238,0.072,0.055,0.264,0.44,0.564,0.379,0.2,0.222,0.38,0.468,1,0.037,15,0.543,0.4,5,0,,winslju01
179,Pascal Siakam,23,TOR,PF,81,5,1679,0.508,8.8,0.735,0.456,0.227,0.046,0.006,0.265,0.612,0.718,0.442,0.435,0.333,0.22,0.688,1,0.092,43,0.53,0.257,2,0,,siakapa01
180,Dwight Powell,26,DAL,C,79,24,1672,0.593,7.9,0.805,0.549,0.156,0.03,0.07,0.195,0.656,0.775,0.418,0.308,0.4,0.333,0.828,1,0.251,96,0.155,0.615,2,0,,poweldw01
181,Jarell Martin,23,MEM,PF,73,36,1661,0.446,10.8,0.802,0.413,0.091,0.091,0.208,0.198,0.47,0.571,0.244,0.422,0.388,0.347,0.636,1,0.095,38,0.418,0.341,2,0,,martija01
182,Tyler Ulis,22,PHO,PG,71,43,1658,0.388,15,0.735,0.116,0.136,0.281,0.201,0.265,0.425,0.438,0.413,0.445,0.396,0.288,0.198,0.5,0,0,0.13,0.263,3,0,,ulisty01
183,Mario Hezonja,22,ORL,SF,75,30,1657,0.442,15,0.567,0.246,0.143,0.063,0.113,0.433,0.523,0.691,0.375,0.359,0.443,0.337,0.568,0.878,0.057,34,0.131,0.314,0,0,,hezonma01
184,Jamal Crawford,37,MIN,SG,80,0,1653,0.415,18.8,0.577,0.058,0.075,0.121,0.323,0.423,0.477,0.674,0.321,0.5,0.467,0.331,0.23,0.731,0,0,0.204,0.406,3,0,,crawfja01
185,Michael Beasley,29,NYK,PF,74,30,1653,0.507,9,0.893,0.328,0.268,0.171,0.124,0.107,0.52,0.675,0.463,0.428,0.37,0.395,0.467,0.912,0.052,37,0.267,0.304,1,0,,beaslmi01
186,Kevin Love,29,CLE,C,59,59,1651,0.458,14.9,0.547,0.243,0.122,0.095,0.089,0.453,0.494,0.661,0.315,0.391,0.385,0.415,0.645,0.978,0.008,5,0.297,0.378,0,0,AS,loveke01
187,Jerami Grant,23,OKC,PF,81,1,1647,0.535,7.8,0.759,0.586,0.121,0.022,0.031,0.241,0.613,0.685,0.327,0.5,0.429,0.291,0.731,0.938,0.184,70,0.5,0.273,2,0,,grantje01
188,David Nwaba,25,CHI,SG,70,21,1646,0.478,5.6,0.877,0.527,0.307,0.043,0,0.123,0.496,0.619,0.315,0.278,,0.346,0.522,0.944,0.09,35,0.481,0.28,0,0,,nwabada01
189,Bobby Portis,22,CHI,PF,73,4,1643,0.471,11.9,0.725,0.296,0.191,0.105,0.132,0.275,0.514,0.588,0.458,0.541,0.411,0.359,0.54,1,0.031,20,0.112,0.36,1,0,,portibo01
190,Tomáš Satoranský,26,WAS,SG,73,30,1643,0.523,11.9,0.737,0.266,0.224,0.122,0.125,0.263,0.544,0.696,0.512,0.404,0.417,0.465,0.526,1,0.042,13,0.406,0.488,2,0,6MOY-12,satorto01
191,Stephen Curry,29,GSW,PG,51,51,1631,0.495,18.4,0.42,0.175,0.065,0.073,0.108,0.58,0.595,0.669,0.429,0.54,0.613,0.423,0.417,0.618,0.001,1,0.134,0.358,8,0,MVP-10ASNBA3,curryst01
192,Troy Daniels,26,PHO,SG,79,15,1622,0.403,22.2,0.203,0.049,0.03,0.054,0.071,0.797,0.419,0.429,0.529,0.516,0.293,0.4,0.694,0.923,0,0,0.231,0.5,2,0,,danietr01
193,Andre Iguodala,34,GSW,SF,64,7,1622,0.463,13.7,0.634,0.313,0.113,0.081,0.128,0.366,0.567,0.76,0.389,0.385,0.366,0.282,0.591,0.848,0.166,52,0.179,0.143,3,0,,iguodan01
194,Rodney Hood,25,2TM,SG,60,23,1616,0.429,16.2,0.557,0.101,0.149,0.152,0.154,0.443,0.467,0.658,0.42,0.43,0.422,0.381,0.369,0.732,0.025,19,0.162,0.389,1,0,6MOY-12,hoodro01
195,Rodney Hood,25,UTA,SG,39,12,1084,0.424,17.6,0.525,0.087,0.13,0.139,0.168,0.475,0.455,0.625,0.431,0.416,0.419,0.389,0.318,0.706,0.02,11,0.141,0.351,0,0,,hoodro01
196,Rodney Hood,25,CLE,SG,21,11,532,0.442,14.8,0.643,0.141,0.201,0.186,0.116,0.357,0.492,0.714,0.4,0.459,0.435,0.352,0.476,0.84,0.04,8,0.239,0.471,1,0,,hoodro01
197,Garrett Temple,31,SAC,SG,65,35,1615,0.418,17.4,0.523,0.155,0.061,0.097,0.21,0.477,0.442,0.635,0.207,0.391,0.39,0.392,0.427,0.888,0.015,7,0.335,0.329,0,0,,templga01
198,Marcus Smart,23,BOS,SG,54,11,1614,0.367,16.3,0.517,0.177,0.161,0.095,0.083,0.483,0.429,0.593,0.301,0.388,0.372,0.301,0.333,0.76,0.012,5,0.145,0.278,3,0,,smartma01
199,Tyreke Evans,28,MEM,PG,52,32,1607,0.452,12.1,0.646,0.412,0.121,0.01,0.104,0.354,0.482,0.544,0.357,0.25,0.405,0.399,0.226,0.482,0.004,3,0.052,0.267,1,0,,evansty01
200,James Ennis III,27,2TM,SF,72,22,1604,0.474,12.8,0.602,0.349,0.12,0.07,0.063,0.398,0.567,0.716,0.261,0.519,0.375,0.333,0.695,1,0.078,26,0.333,0.333,0,0,,ennisja01
201,James Ennis III,27,MEM,SF,45,14,1053,0.486,12.5,0.622,0.365,0.099,0.086,0.072,0.378,0.565,0.716,0.273,0.421,0.375,0.357,0.641,1,0.095,18,0.345,0.379,0,0,,ennisja01
202,James Ennis III,27,DET,SF,27,8,551,0.457,13.1,0.574,0.327,0.148,0.049,0.049,0.426,0.57,0.717,0.25,0.75,0.375,0.304,0.774,1,0.056,8,0.319,0.273,0,0,,ennisja01
203,J.J. Barea,33,DAL,PG,69,11,1603,0.439,15.6,0.546,0.168,0.184,0.117,0.077,0.454,0.499,0.664,0.449,0.42,0.377,0.367,0.154,0.626,0,0,0.067,0.238,3,0,6MOY-12,bareajo01
204,Kyle Korver,36,CLE,SG,73,4,1574,0.459,22.1,0.223,0.062,0.017,0.037,0.107,0.777,0.537,0.733,0.5,0.5,0.442,0.436,0.948,0.976,0,0,0.223,0.512,1,0,,korveky01
205,Luc Mbah a Moute,31,HOU,PF,61,15,1564,0.481,13.2,0.499,0.403,0.075,0,0.02,0.501,0.599,0.676,0.346,,0,0.364,0.777,0.984,0.072,25,0.41,0.282,0,0,6MOY-12,mbahalu01
206,Dante Cunningham,30,2TM,SF,73,25,1562,0.451,13,0.538,0.332,0.115,0.041,0.049,0.462,0.541,0.645,0.333,0.267,0.556,0.345,0.849,0.983,0.052,15,0.661,0.369,0,0,,cunnida01
207,Dante Cunningham,30,NOP,SF,51,24,1115,0.44,13.3,0.52,0.347,0.08,0.049,0.044,0.48,0.547,0.615,0.389,0.182,0.7,0.324,0.875,0.971,0.049,8,0.676,0.356,0,0,,cunnida01
208,Dante Cunningham,30,BRK,SF,22,1,447,0.468,12.7,0.568,0.309,0.173,0.029,0.058,0.432,0.532,0.698,0.292,0.5,0.375,0.383,0.81,1,0.058,7,0.633,0.395,0,0,,cunnida01
209,Kristaps Porziņģis,22,NYK,PF,48,48,1553,0.439,14.4,0.744,0.156,0.156,0.264,0.165,0.256,0.454,0.604,0.381,0.43,0.422,0.395,0.647,0.989,0.067,53,0.053,0.583,5,0,AS,porzikr01
210,Jarrett Jack,34,NYK,PG,62,56,1548,0.427,14.2,0.806,0.124,0.212,0.174,0.296,0.194,0.459,0.655,0.457,0.416,0.405,0.291,0.195,0.6,0,0,0.128,0.273,2,0,,jackja01
211,Dewayne Dedmon,28,ATL,C,62,46,1542,0.524,12.5,0.704,0.281,0.138,0.147,0.138,0.296,0.595,0.776,0.485,0.471,0.47,0.355,0.8,1,0.115,50,0.461,0.4,0,0,,dedmode01
212,JaMychal Green,27,MEM,PF,55,54,1542,0.457,10.5,0.74,0.447,0.086,0.064,0.143,0.26,0.499,0.624,0.214,0.226,0.4,0.339,0.583,0.977,0.111,48,0.417,0.358,0,0,,greenja01
213,Dwyane Wade,36,2TM,SG,67,3,1536,0.438,11.2,0.837,0.309,0.151,0.196,0.183,0.163,0.468,0.659,0.398,0.306,0.368,0.288,0.401,0.531,0.031,20,0.216,0.25,0,0,6MOY-10,wadedw01
214,Dwyane Wade,36,CLE,SG,46,3,1069,0.455,10.9,0.839,0.329,0.131,0.228,0.156,0.161,0.479,0.678,0.404,0.313,0.353,0.329,0.4,0.522,0.03,12,0.243,0.176,0,0,,wadedw01
215,Dwyane Wade,36,MIA,SG,21,0,467,0.409,11.6,0.834,0.275,0.186,0.142,0.231,0.166,0.447,0.618,0.391,0.286,0.386,0.22,0.402,0.556,0.032,8,0.171,0.429,0,0,,wadedw01
216,Shabazz Napier,26,POR,PG,74,9,1535,0.42,16.2,0.589,0.192,0.085,0.087,0.226,0.411,0.45,0.559,0.222,0.348,0.483,0.376,0.241,0.72,0.002,1,0.156,0.412,0,0,,napiesh01
217,Marquese Chriss,20,PHO,PF,72,49,1527,0.423,12.4,0.602,0.371,0.113,0.061,0.057,0.398,0.509,0.621,0.278,0.379,0.37,0.295,0.692,1,0.157,58,0.268,0.255,0,0,,chrisma01
218,Kris Dunn,23,CHI,PG,52,43,1525,0.429,12,0.799,0.263,0.168,0.179,0.189,0.201,0.457,0.543,0.393,0.387,0.46,0.321,0.173,0.628,0.033,19,0.134,0.389,1,0,,dunnkr01
219,Jakob Poeltl,22,TOR,C,82,0,1524,0.659,2.4,0.995,0.734,0.211,0.047,0.003,0.005,0.66,0.734,0.444,0.5,0,0.5,0.73,1,0.102,37,1,0.5,0,0,6MOY-12,poeltja01
220,Fred VanVleet,23,TOR,PG,76,0,1520,0.426,13.9,0.521,0.327,0.132,0.037,0.026,0.479,0.437,0.567,0.236,0.05,0.357,0.414,0.242,0.778,0,0,0.295,0.429,6,0,6MOY-3,vanvlfr01
221,Bryn Forbes,24,SAS,SG,80,12,1517,0.421,17.5,0.541,0.082,0.149,0.121,0.189,0.459,0.446,0.585,0.459,0.383,0.415,0.39,0.683,0.944,0.002,1,0.193,0.5,1,0,,forbebr01
222,Zach Randolph,36,SAC,PF,59,58,1508,0.473,11.4,0.807,0.229,0.286,0.122,0.17,0.193,0.503,0.623,0.514,0.366,0.423,0.347,0.403,0.961,0,0,0.143,0.476,1,0,,randoza01
223,Justin Jackson,22,SAC,SF,68,41,1506,0.442,15.4,0.558,0.186,0.15,0.112,0.11,0.442,0.547,0.756,0.46,0.426,0.435,0.308,0.711,1,0.024,10,0.384,0.366,2,0,,jacksju01
224,Bismack Biyombo,25,ORL,C,82,25,1495,0.52,4.2,0.997,0.534,0.31,0.122,0.031,0.003,0.521,0.713,0.303,0.302,0.273,0,0.803,,0.247,81,0,,0,0,,biyombi01
225,Nikola Mirotić,26,2TM,PF,55,14,1494,0.447,16.8,0.477,0.196,0.095,0.088,0.095,0.523,0.525,0.672,0.523,0.317,0.431,0.377,0.643,0.889,0.02,14,0.19,0.412,0,0,6MOY-7,mirotni01
226,Nikola Mirotić,26,CHI,PF,25,3,622,0.474,17.1,0.467,0.185,0.096,0.083,0.099,0.533,0.525,0.696,0.448,0.36,0.433,0.429,0.595,0.87,0.017,5,0.174,0.536,0,0,,mirotni01
227,Nikola Mirotić,26,NOP,PF,30,11,872,0.427,16.5,0.484,0.204,0.094,0.092,0.092,0.516,0.524,0.654,0.583,0.286,0.429,0.335,0.68,0.909,0.024,9,0.203,0.325,0,0,,mirotni01
228,Pat Connaughton,25,POR,SG,82,5,1488,0.423,16.1,0.462,0.231,0.115,0.051,0.064,0.538,0.506,0.667,0.311,0.5,0.28,0.352,0.692,0.932,0.056,20,0.195,0.244,1,0,,connapa01
229,Wesley Johnson,30,LAC,SF,74,40,1486,0.408,17.5,0.519,0.155,0.038,0.079,0.247,0.481,0.471,0.649,0.286,0.379,0.418,0.339,0.756,0.9,0.046,16,0.537,0.389,1,0,,johnswe01
230,Aron Baynes,31,BOS,C,81,67,1485,0.471,7.9,0.953,0.399,0.195,0.188,0.17,0.047,0.487,0.562,0.379,0.464,0.461,0.143,0.744,1,0.126,40,0.571,0.083,0,0,,baynear01
231,OG Anunoby,20,TOR,SF,74,62,1481,0.471,14.5,0.431,0.353,0.049,0.014,0.014,0.569,0.604,0.697,0.235,0.2,0,0.371,0.711,0.945,0.136,42,0.528,0.452,0,0,,anunoog01
232,Ed Davis,28,POR,C,78,0,1471,0.582,2.4,0.997,0.695,0.267,0.031,0.003,0.003,0.584,0.67,0.385,0.444,0,0,0.576,,0.154,39,0,,1,0,,davised01
233,Tyus Jones,21,MIN,PG,82,11,1467,0.457,14,0.607,0.229,0.186,0.113,0.079,0.393,0.528,0.68,0.377,0.514,0.462,0.349,0.381,0.933,0.009,2,0.333,0.372,2,0,,jonesty01
234,Luke Kennard,21,DET,SG,73,9,1463,0.443,16.5,0.581,0.133,0.135,0.127,0.185,0.419,0.463,0.597,0.302,0.441,0.5,0.415,0.528,0.975,0.011,5,0.144,0.393,0,0,,kennalu01
235,Josh Hart,22,LAL,SG,63,23,1461,0.469,15.1,0.475,0.317,0.061,0.053,0.043,0.525,0.551,0.681,0.261,0.3,0.313,0.396,0.633,0.936,0.027,10,0.198,0.513,0,0,,hartjo01
236,Ian Clark,26,NOP,SG,74,2,1455,0.448,15.3,0.606,0.152,0.216,0.109,0.129,0.394,0.533,0.68,0.458,0.574,0.453,0.318,0.55,0.806,0,0,0.267,0.365,2,0,,clarkia01
237,Marcus Morris,28,BOS,PF,54,21,1442,0.429,16.5,0.617,0.139,0.128,0.16,0.19,0.383,0.467,0.612,0.41,0.398,0.457,0.368,0.483,0.919,0.018,10,0.175,0.341,9,0,,morrima03
